,ETHNICITY,TERRITORY,ACADEMIC_INTEREST_1,ACADEMIC_INTEREST_2,Enroll,TOTAL_CONTACTS,SELF_INIT_CNTCTS,SOLICITED_CNTCTS,CAMPUS_VISIT,IRSCHOOL,satscore,sex,mailq,premiere,init_span,int1rat,int2rat,hscrat,avg_income,distance,Instate,TERRITORY_binned,TOTAL_CONTACTS_binned,SELF_INIT_CNTCTS_binned,SOLICITED_CNTCTS_binned,satscore_binned,avg_income_binned
0,C,0,Unknown,Unknown,0,1,1,0,0,447290,,1.0,1,0,48,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,, Moderate
1,N,0,Unknown,Unknown,0,1,1,0,0,447290,,1.0,1,0,31,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,, Moderate
2,C,0,Unknown,Unknown,0,1,0,1,0,447290,,1.0,1,0,20,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Low,Moderate,, Moderate
3,C,0,Unknown,Unknown,0,1,1,0,0,447290,,0.0,1,0,18,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,, Moderate
4,B,0,Unknown,Unknown,0,2,2,0,0,447290,1090.0,1.0,1,0,18,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,55-75 Percentile, Moderate
5,N,0,Unknown,Unknown,0,2,1,1,0,447290,1130.0,0.0,1,0,18,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Moderate,55-75 Percentile, Moderate
6,C,0,Unknown,Unknown,0,1,1,0,0,447290,1170.0,0.0,1,0,16,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,76-93 Percentile, Moderate
7,N,0,Unknown,Unknown,0,2,2,0,0,447290,1210.0,0.0,1,0,15,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,76-93 Percentile, Moderate
8,C,0,Unknown,Unknown,0,1,1,0,0,447290,1170.0,1.0,1,0,14,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,76-93 Percentile, Moderate
9,C,0,Unknown,Unknown,0,1,1,0,0,447290,1130.0,0.0,1,0,14,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,55-75 Percentile, Moderate
10,N,0,Unknown,Unknown,0,2,2,0,0,447290,1090.0,1.0,1,0,14,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,55-75 Percentile, Moderate
11,C,0,Unknown,Unknown,0,1,1,0,0,447290,1050.0,0.0,1,0,13,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,55-75 Percentile, Moderate
12,C,0,Unknown,Unknown,0,1,1,0,0,447290,1010.0,1.0,1,0,13,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
13,C,0,Unknown,Unknown,0,1,1,0,0,447290,970.0,1.0,1,0,12,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
14,C,0,Unknown,Unknown,0,1,1,0,0,447290,930.0,1.0,1,0,12,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
15,C,0,Unknown,Unknown,0,1,1,0,0,447290,890.0,1.0,1,0,12,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
16,H,0,Unknown,Unknown,0,1,1,0,0,447290,850.0,1.0,1,0,10,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
17,C,0,Unknown,Unknown,0,1,1,0,0,447290,861.3636363636364,1.0,1,0,9,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
18,C,0,Unknown,Unknown,0,1,1,0,0,447290,872.7272727272727,1.0,1,0,9,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
19,C,0,Unknown,Unknown,0,1,1,0,0,447290,884.0909090909091,1.0,1,0,8,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
20,C,0,Unknown,Unknown,0,1,1,0,0,447290,895.4545454545455,0.0,1,0,6,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,0,Unknown,Moderate,Moderate,Low,54 Percentile and Under, Moderate
